;Id;Immobilisations incorporelles;Immobilisations corporelles;Actifs financiers non courants;Stocks et travaux en-cours;Créances clients et comptes rattachés;Trésorerie et équivalents de trésorerie;Total actif;Capitaux propres;Provisions pour risques et charges non courantes;Dettes financières non courantes;Dettes financières courantes;Fournisseurs et comptes rattaches;Total passif;Chiffre d'affaires;Produits des activités ordinaires;Résultat opérationnel;Coût de l'endettement financier net;Quote part resultats des Sociétés Mises en Equivalence;RN des activités abandonnées;Résultat net;total des passifs courants;Fonds de roulement;EBIT;sales;A;B;C;D;E;scoring;Approval;RAF1;RAF2;RFD;RLG;RLR;RFI;DPC;RCP;TRN
157;158;9304;687800;459;4161000;7570;1944900;1550283000;64706000;22464;2511000;11525000;9168;1550283000;-329904,2032;-1239,603706;-41376,67964;-70,95520775;-315,4082366;539,0608358;-3566,593865;11534097,04;-5411530;-351128,5995;-329904,2032;-0,003490672;-2,30E-06;-0,000226493;0,041738186;-0,000212803;0,019890654;0;0,041738186;25,76901633;0,009053831;0,530452928;0,169411714;146442,2658;-8,375310084;-5,51E-05;0,010810999
158;159;10555;1167;291;4158000;8349;2148900;1624394000;65516000;71400;3021000;3018000;11292;1624394000;-346125,3147;-1246,208612;-42440,02259;-163,3423579;-188,9416603;14,13047441;-4151,319401;3029128,658;3297249;-416279,1061;-346125,3147;0,002029833;-2,56E-06;-0,000256267;0,040332579;-0,00021308;0,025573008;0;0,040332579;21,68685866;0,003717694;2,092527833;0,714794235;235522,3368;-8,804282353;-6,34E-05;0,011993689
159;160;433000;1365;140;3617000;1679000;137880;1767643000;70843000;67900;51365000;2976000;177000;1767643000;-382732,872;-1447,972406;-55078,83903;-771,2470793;-255,9148807;658,8442946;-3459,463473;3152228,753;2457880;-449184,8996;-382732,872;0,001390484;-1,96E-06;-0,000254115;0,040077663;-0,000216522;0,024657337;0;0,040077663;1,379207632;0,030742067;1,825900538;0,610510753;872914,2857;-1601,208166;-4,88E-05;0,009038846
160;161;432000;793;274;4140000;1875000;122770;1961062000;73495000;73300;52129000;4581000;224000;1961062000;-424681,7408;-1613,870679;-61323,1524;-814,381155;-308,1026597;766,9304771;-3912,243972;4804185,619;1556770;-496367,8701;-424681,7408;0,00079384;-1,99E-06;-0,000253112;0,037477142;-0,000216557;0,022384275;0;0,037477142;1,409867828;0,028918005;1,339831914;0,436099105;458481,7518;-1611,500882;-5,32E-05;0,009212178
161;162;706000;1409;41000;5992;2073000;172027;1067250;435619;84000;57002000;3542000;261000;1067250;-6898,255342;16,10591478;-10462,93056;-547,353573;-8,837023691;898,0003148;1630,238284;3802452,646;-1290981;-90914,36126;-6898,255342;-1,209633169;0,001527513;-0,085185628;0,408169595;-0,00646358;-1,492095679;0;0,408169595;0,00764217;56,72897634;0,635522021;0,633830322;1400,917537;-109686,4298;0,003742349;-0,236326173
162;163;655000;46000;41000;4875;1743000;175336;1172922;511928;312;54066000;11265;669000;1172922;-6622,731369;45,34844172;-9564,409692;-531,2455522;50,76732995;646,7964009;1578,478991;679733,7544;1911946;-6980,079811;-6622,731369;1,630070883;0,001345766;-0,005951018;0,43645528;-0,005646353;2,194557589;1;0,43645528;0,009468575;46,10474098;170,7244563;170,2917;1331,168976;-96062,32905;0,0030834;-0,238342597
163;164;8896000;52000;48000;3187;23411000;94763;1275258;557578;274;12119000;9059;13994000;1275258;-2661,796926;38,21576953;-9117,030559;-916,1205646;146,3175192;-54,08983786;-1805,249287;14002142,88;23499891;-2974,012696;-2661,796926;18,42755819;-0,001415595;-0,002332087;0,437227604;-0,002087262;22,36364141;1;0,437227604;0,046008582;9,510278704;2595,093277;2594,741473;264,095375;-3210243,019;-0,003237662;0,678206992
164;165;9918000;66000;75000;2100;15910000;84914;1255128;622301;367;11422000;14095;13421000;1255128;-2331,091416;18,92309738;-8211,276823;-553,6074797;132,7153388;183,0172221;-498,8094061;13434541,39;15982919;-2717,014513;-2331,091416;12,73409485;-0,000397417;-0,002164731;0,495806802;-0,001857254;15,56884065;1;0,495806802;0,054482665;9,111496995;1134,942462;1134,793473;160,59068;-2491172,144;-0,000801556;0,213981057
165;166;9350000;52000;132000;4377;15606000;113117;44259000;14529000;500;11340000;5500;12867000;44259000;-9928,24162;-28,52651279;-7141,071437;-535,9338392;117,6116491;126,4601943;-700,5728297;12871964,07;15717994;-10399,71511;-9928,24162;0,355136673;-1,58E-05;-0,000234974;0,328272216;-0,000224321;0,622105441;0;0,328272216;1,281216931;0,256343343;2858,817091;2858,021273;195,9772727;-573736,0368;-4,82E-05;0,070563636
166;167;9583000;137833000;38955000;8779;14521000;153614;44177000;16475000;42000;12815000;75100;11900000;44177000;-10462,01015;-446,8128844;11716,0742;1021,833562;543,3319192;-272,9687044;-6973,261645;11976121,83;14608293;-52015,19727;-10462,01015;0,330676438;-0,000157848;-0,001177427;0,372931616;-0,00023682;0,616227378;0;0,372931616;1,285602809;0,291783055;195,5178828;195,4009854;0,75189321;-506610,5769;-0,000423263;0,666531722
167;168;11363000;142106000;38900000;13513;4977000;146600;45362000;17378000;39000;7265;84400;3278000;45362000;-7960,862499;-492,6287785;18982,92547;1600,086243;542,7778629;-407,5004672;-7589,164138;3364000,086;5052713;-46468,23372;-7960,862499;0,111386469;-0,000167302;-0,001024387;0,383095983;-0,000175496;0,359731157;0;0,383095983;2392,016518;0,002020744;60,86626777;60,70616114;0,446921979;-228191,983;-0,000436711;0,953309285
168;169;11186000;150039000;48149000;0;5311000;145600;42776000;16298000;43000;6708;16000;3720000;42776000;-7773,658683;-587,0341107;20064,57847;1845,042338;727;-312,8940965;-7162,333195;3737845,042;5440600;-50186,62457;-7773,658683;0,127188143;-0,000167438;-0,001173243;0,381008042;-0,000181729;0,376942753;0;0,381008042;2429,636255;0,000530858;341,0375;341,0375;0,338630252;-249369,7085;-0,000439461;0,921359361
169;170;11086000;159810000;49630000;145;0;284600;15254549;3907705;33000;16392;60000;4174000;15254549;-3298,376443;-559,4663898;20441,41324;2151,788666;633,5646649;-152,3605773;-6421,246478;4236151,789;224745;-35738,91005;-3298,376443;0,014732982;-0,00042094;-0,002342836;0,256166538;-0,000216222;0,162842604;0;0,256166538;238,3909834;0,005007818;4,74575;4,743333333;0,079067036;0;-0,001643227;1,946790061
170;171;11853000;1649000;1869000;176;0;362000;17052988;4276589;71373000;31600;8099000;0;17052988;-2250,728806;-205,5902517;51109,18789;915;36;-5988,600145;-15245,30593;8099915;-7736824;-71375045,14;-2250,728806;-0,453693159;-0,000893996;-4,185486153;0,250782385;-0,000131984;-14,20745024;0;0,250782385;135,3350949;0,476784479;0,044718607;0,044696876;2,305077047;0;-0,003564828;6,773497494
171;172;12385;1853000;2139000;1396;20703;8138;15369071;4446085;71772000;1685300;5514000;11041;15369071;-2635,367032;-3,885093071;51906,0307;449,7148368;-63,49533046;-6600,354468;-14122,56683;5525490,715;-5483763;-71774631,48;-2635,367032;-0,356805106;-0,000918895;-4,670069615;0,289287817;-0,000171472;-15,66728109;0;0,289287817;2,638156411;0,468427792;0,005483678;0,005230504;2,866472651;-2867,378588;-0,003176405;5,358861461
172;173;30363;2706000;2197000;358;20687;4118;0;0;80760000;1874100;8542000;15825;0;169,2383117;-13,67084035;57778,70412;508,5540422;-117,3270609;-7241,860346;-15870,47478;8558333,554;-8516837;-80759817,09;169,2383117;#NOM?;#NOM?;#NOM?;;inf;;0;;0;inf;0,002945797;0,002903887;0,853026855;44616,10923;#NOM?;-93,77589872
173;174;34436;1814000;2151000;0;21364;1052;7029806;3996047;85837000;602000;7846000;15126;7029806;-715,2709704;-22,96567412;62063,28982;534,5129885;-116,7690271;-7789,651141;-16984,93779;7861660,513;-7823584;-85837692,31;-715,2709704;-1,112916061;-0,002416132;-12,21053501;0,568443425;-0,000101748;-41,2926831;0;0,568443425;6,637951827;1,201740133;0,002856997;0,002856997;2,137632264;-10901,96628;-0,004250435;23,74615844
174;175;27200;2520;7935;1125000;22300;1477;7974000;4625800;625000;973000;1727;12400;7974000;-973,6149286;125,7724107;1352,551063;81,12552506;94,75526477;-332,7592385;646,6914052;14208,12553;1147050;-626099,3873;-973,6149286;0,143848758;8,11E-05;-0,078517606;0,580110359;-0,000122099;0,261568068;0;0,580110359;4,754162384;0,122238149;665,1864505;13,76780544;705,5828607;-8360,081343;0,000139801;-0,664216813
175;176;479200;2593;8696;832000;607600;1397000;13872600;5262600;656000;24714000;1519;793000;13872600;-5172,402019;78,03735245;-3541,469851;-165,172127;70,27675091;177,3561477;785,6534613;794353,8279;2835081;-661250,4394;-5172,402019;0,204365512;5,66E-05;-0,047665934;0,379352104;-0,00037285;0,31525873;0;0,379352104;0,212940034;1,781606836;1867,412772;1319,684003;3447,171113;-42876,40427;0,00014929;-0,151893348
176;177;524500;2582;9823;2045000;645700;1991000;12964200;5106100;787000;26084000;25633;850100;12964200;-5234,068469;75,8274302;-4046,437937;-179,3701373;57,66716833;190,4622078;712,5184464;875553,6299;4656067;-792309,8959;-5234,068469;0,359148038;5,50E-05;-0,061115217;0,393861557;-0,000403732;0,465287577;0;0,393861557;0,195756019;2,013979497;182,6434674;102,8634963;3175,211239;-45028,16526;0,000139543;-0,136130899
177;178;262000;0;16800;2166000;552000;1737000;177807;129923;831000;30002000;19700;550000;177807;-3548,974515;89,71895707;-4977,777306;-228,1035387;56,70666663;226,2602647;901,082312;569471,8965;4435300;-834638,6935;-3548,974515;24,94446225;0,005067755;-4,694071063;0,730696767;-0,019959701;14,86847341;1;0,730696767;0,004330478;168,8443087;226,142132;116,1928934;1793,566845;-56771,32906;0,00693551;-0,253899347
178;179;221000;667500;86300;645600;397000;2146000;171749;121286;3364;30092000;1050;448000;171749;-3456,912515;90,0229629;-5131,385128;-210,2450124;72,98453109;380,0337833;882,080945;448839,755;3187550;-6910,935478;-3456,912515;18,55935115;0,005135872;-0,040238578;0,706181695;-0,020127701;22,54920561;1;0,706181695;0,004030506;175,2152851;3036,761905;2421,904762;350,0960139;-41917,4623;0,007272735;-0,255164382
179;180;6504000;746700;79800;999300;20056000;3692000;241476;171563;3720;3295;1584;15983000;241476;-1226,974372;103,9951683;-7807,74181;-632,0014666;148,9149601;26,0660041;-1545,778308;15983952;24745716;-5050,969541;-1226,974372;102,476917;-0,006401374;-0,020917066;0,710476403;-0,005081144;123,3155168;1;0,710476403;52,0676783;0,020204906;15623,29545;14992,42424;2,191203008;-5966253,383;-0,009009975;1,259829335
180;181;6718000;392000;112000;1134200;23023000;3290000;243107;183497;3909;2673;2269;22790000;243107;-1911,455697;128,7577158;-10928,58442;-744,5372691;155,294087;103,4491941;-634,0935265;22791524,46;27444931;-5949,213413;-1911,455697;112,8923931;-0,00260829;-0,024471584;0,754799327;-0,007862611;135,8314808;1;0,754799327;68,6483352;0,020328497;12096,60643;11596,73865;1,662232143;-4396332,602;-0,003455607;0,331733311
181;182;7038000;552000;117000;1262200;23011000;3934000;741088;351450;0;3599;0;22969000;741088;-2002,491609;123,5619174;-11056,92175;-731,849391;154,5543917;157,76369;-782,0685592;22968268,15;28207200;-2126,053526;-2002,491609;38,06187659;-0,001055298;-0,002868827;0,474235179;-0,002702097;45,94514637;1;0,474235179;97,65212559;0,004856373;inf;inf;3,034606838;-4194282,244;-0,002225263;0,390547733
182;183;7196000;51061000;6446000;223174;22033000;6270000;761023;377196;135400;46700;50;21205000;761023;-1841,624982;54,38409681;-3697,089985;-303,0212099;278,4160049;23,93556117;-4710,889245;21204746,98;28526124;-137296,0091;-1841,624982;37,48391836;-0,006190206;-0,180409802;0,495643364;-0,002419933;44,67164948;1;0,495643364;8,077002141;0,061430469;570523,48;566060;0,065761092;-4366820,106;-0,012489234;2,55800681
183;184;1530;48917000;9360000;349647;131487;4466000;743992;441233;128300;14733;824;112960;743992;109,3916678;46,00818003;6895,445019;557,0878775;239,1324936;-198,7223781;-2980,630797;114341,0879;4946310;-128236,6165;109,3916678;6,648337617;-0,004006267;-0,172362897;0,593061485;0,000147033;7,759582729;1;0,593061485;29,94861875;0,020910171;6003,803398;5579,474515;0,048714316;438724,045;-0,006755231;-27,24732931
184;185;1248;48945000;11559000;360949;179516;4537000;870250;522999;119000;25679;776;161828;870250;39,95382435;20,95430264;6961,291904;610,750055;250,8509523;-154,3893064;-2765,635395;163214,7501;5076689;-118981,0005;39,95382435;5,833598391;-0,003177978;-0,136720483;0,600975582;4,59E-05;6,905322566;1;0,600975582;20,36679777;0,030399311;6543,125;6077,984536;0,047467601;1639976,675;-0,005288032;-69,22079276
185;186;1213;46993000;12428000;457755;219185;3696000;1393700;462600;119000;28558;1525;192474;1393700;-118,6441698;10,53986185;6755,752649;613,7746026;251,1915522;-183,040922;-2331,870404;194612,7746;4371415;-119129,184;-118,6441698;3,136553778;-0,001673151;-0,08547692;0,331922221;-8,51E-05;3,678516488;1;0,331922221;16,19861335;0,02158499;2867,501639;2567,334426;0,039520277;-674306,4166;-0,005040792;19,65431936
186;187;1900;26902;15377;0;217400;4420000;1412900;511700;18434000;0;1246000;208000;1412900;159,7283835;114,4997431;13596,56135;205,1745692;592;-1599,079605;-4109,422879;1454205,175;3391400;-18433954,77;159,7283835;2,400311416;-0,002908502;-13,04689275;0,362162927;0,00011305;-39,96103348;0;0,362162927;inf;0,88187416;3,721829856;3,721829856;33,2769721;496787,0975;-0,008030922;-25,7275682
187;188;4488;35558;18698;38700;30148;5192000;1557400;526000;19194000;2816;228000;7852;1557400;144,2137443;118,949814;14334,69531;214,933101;83,39227952;-1685,813312;-4496,240759;236066,9331;5032848;-19193974,74;144,2137443;3,231570566;-0,002887017;-12,32437058;0,337742391;9,26E-05;-36,59384201;0;0,337742391;186,7897727;0,148205984;23,07389474;22,90415789;28,28195529;76303,5455;-0,008547986;-31,17761612
188;189;6606;46612;20925;39100;32740;21316;1875100;524200;22817000;2019;1184000;7074;1875100;33,6104666;110,5866474;17142,93814;184,1260521;61,61290325;-2314,799312;-4030,670703;1191258,126;-1090844;-22817076,98;33,6104666;-0,58175244;-0,002149576;-12,16845874;0,279558424;1,79E-05;-40,68927319;0;0,279558424;259,6334819;0,632509733;0,078679054;0,045655405;25,14786141;355546,9831;-0,007689185;-119,9230808
189;190;8486;72900;23400;41400;17698;25115;49981;28272;24876000;1243;932000;3969;49981;366,2335905;112,3736507;18650,44211;190,2090089;63,51634202;-2523,621841;-4469,654601;936159,209;-847787;-24875746,14;366,2335905;-16,96218563;-0,089427074;-497,7040503;0,565654949;0,007327456;-1662,556466;0;0,565654949;22,74497184;18,67195534;0,090357296;0,045936695;1,261324786;17638,38754;-0,158094744;-12,20438189
190;191;57;2003;113;40900;0;32588;40080;23348;4261;12599;24900;0;40080;366,0665901;141,1067734;873,2780502;89,61715141;110,3105746;-239,1667544;754,2479119;24989,61715;48588;-4036,040183;366,0665901;1,212275449;0,018818561;-0,100699605;0,58253493;0,009133398;1,507422182;0;0,58253493;1,853162949;0,935603792;2,951325301;1,30875502;318,1150442;0;0,032304605;2,060411773
191;192;53;2394;309;39547;218;49600;36837;17879;14379;1364000;26300;4832;36837;197,3515711;138,9558124;625,2807212;75,93135671;108,7132149;-216,4802846;777,8982203;31207,93136;63065;-14320,60424;197,3515711;1,71200152;0,021117307;-0,388755986;0,485354399;0,005357428;1,097641368;0;0,485354399;0,013107771;37,74194424;3,397908745;1,894220532;4472,100324;403,1890881;0,043509045;3,941687497
192;193;1613;2068;4586;51805;76;139600;40283;14842;17421;1671000;29400;8076;40283;157,8262965;138,3624113;559,0533512;73,79938058;108,2436333;-205,6070938;764,8078449;37549,79938;162081;-17401,53611;157,8262965;4,023558325;0,018985871;-0,431982129;0,368443264;0,003917938;3,654293079;1;0,368443264;0,008882107;42,21135467;6,512959184;4,750884354;367,6061928;175,7628521;0,051529972;4,845883493
193;194;603;0;0;66373;30;142500;6211000;-1362000;17800;2582000;25600;16655;6211000;-1474,630067;134,2182624;-24,78801632;60,83516237;107,5073058;-186,7498089;777,6605888;42315,83516;183303;-19408,84833;-1474,630067;0,029512639;0,000125207;-0,003124915;-0,219288359;-0,000237422;-0,106532202;0;-0,219288359;-0,527498064;0,419835775;8,160273438;5,567578125;inf;-7,425591165;-0,00057097;-0,527359781
194;195;1825000;2245;132;79300;36;83000;7270000;-1451000;776;8483000;280699;13775;7270000;-2369,742633;93,19752935;-1262,978465;28,0896382;96,36279722;-12,41432642;745,6873922;294502,0896;-118363;-3238,940162;-2369,742633;-0,016281018;0,00010257;-0,000445521;-0,199587345;-0,000325962;-0,140942212;0;-0,199587345;-0,171047978;1,20546066;0,578327675;0,295818653;53272,72727;-5,54490594;-0,000513913;-0,314670202
195;196;1247000;3407;233;0;1465000;41000;8886000;-1043000;933;126300;142523;697000;8886000;-1741,13348;117,9100214;-33,06624608;40,47597032;111,6601148;-205,6729396;460,0939326;839563,476;1363477;-2792,043501;-1741,13348;0,153441031;5,18E-05;-0,000314207;-0,117375647;-0,000195941;0,112543513;0;-0,117375647;-8,258115598;0,03025242;10,56671555;10,56671555;-3934,334764;-307113,1571;-0,000441126;-0,264249661
196;197;11873000;15274;1046;562;944000;8929000;9428000;-1134000;1144;121700;282216;907000;9428000;-1319,381348;-55,38000405;-1001,1272;313,055266;111,6635246;795,7886739;-2502,303956;1189529,055;9591346;-2408,001344;-1319,381348;1,017325626;-0,000265412;-0,00025541;-0,120280017;-0,000139943;1,14726837;0;-0,120280017;-9,31799507;0,042842172;34,98583355;34,98384216;-967,7820268;-261152,6989;0,002206617;1,896573692
197;198;11300000;25632;719;1148;2357000;8700000;280752000;48698000;0;13600;434958;1746000;280752000;-54358,65663;-327,3486743;-2316,615793;260,6794487;47,50858195;648,016869;-3553,865555;2181218,679;10623190;-54031,30796;-54358,65663;0,037838341;-1,27E-05;-0,000192452;0,173455576;-0,000193618;0,148632924;0;0,173455576;3580,735294;0,001597702;25,42348457;25,42084523;67749,09597;-15826,45807;-7,30E-05;0,065378098
198;199;69300;1214000;229000;5117;2411000;10519000;283169000;52646000;849000;9300;0;1770000;283169000;-54884,31622;-155,1506775;-820,6317653;126,1057925;200;255,9675517;-3143,763114;1770126,106;12935117;-903729,1655;-54884,31622;0,045679848;-1,11E-05;-0,003191483;0,185917244;-0,000193822;0,155624904;0;0,185917244;5660,860215;3,28E-05;inf;inf;229,9358079;-16033,9977;-5,97E-05;0,057279808
199;200;57600;1809000;91000;587;406700;12980000;303284000;55790000;163;2800355;1700;433500;303284000;-59037,69288;-183,6295527;-1497,145357;204,7490322;44,07218356;558,9854319;-3470,440503;435404,749;13385587;-59017,06332;-59037,69288;0,044135487;-1,14E-05;-0,000194593;0,183952995;-0,000194661;0,162481541;0;0,183952995;19,92247411;0,009239047;7874,874706;7874,529412;643,8500549;-2514,419056;-6,22E-05;0,058783471
200;201;52300;3368000;390000;15092;656100;182167;305891000;55226000;214;3216781;11700;775100;305891000;-59898,29938;-183,9111448;-828,0981328;73,00161466;43,90257772;-304,3047264;-581,894188;786873,0016;841659;-59928,38823;-59898,29938;0,0027515;-1,90E-06;-0,000195914;0,180541435;-0,000195816;0,110781665;0;0,180541435;17,16809444;0,010554351;72,93666667;71,64675214;149,8532846;-3998,051739;-1,05E-05;0,009714703
201;202;43500;3620000;140600;16843;588400;189934;30026000;5137000;347;3125364;31400;794400;30026000;-6000,338879;107,2867305;192,6441602;55,28795806;108,0531049;-207,4651847;453,1251472;825855,288;763777;-6454,62561;-6000,338879;0,025437188;1,51E-05;-0,000214968;0,17108506;-0,000199838;0,132287557;0;0,17108506;1,643648548;0,10513435;25,32410828;24,78770701;58,76503556;-35792,31179;8,82E-05;-0,075516593
202;203;1232507;902800;169100;24330;636700;233988;30368000;5635000;344000;3788192;2100;905600;30368000;-6056,330933;85,40228105;-23,85506673;56,24095748;102,6769821;-163,6764722;479,9908225;907756,241;892918;-350141,7332;-6056,330933;0,029403253;1,58E-05;-0,011529957;0,185557165;-0,000199431;0,108392042;0;0,185557165;1,487517;0,124812039;426,1990476;414,6133333;55,72555884;-38372,32519;8,52E-05;-0,079254391
203;204;1466970;851600;202500;26536;406071;152100;32877000;6231000;252000;0;43519;431476;32877000;-5999,162705;82,31164152;831,6150255;107,6717231;105,3201086;-218,4263027;361,8585194;475102,6717;541188;-258081,4743;-5999,162705;0,016460991;1,10E-05;-0,007849909;0,189524592;-0,000182473;0,107396179;0;0,189524592;inf;0,001323691;13,43567178;12,82591512;30,77037037;-24706,10021;5,81E-05;-0,060318171
204;205;1778627;845700;205900;2800;679633;6930;33721000;6473000;887000;1709300;554231;599819;33721000;-6366,874826;70,50864022;819,3944153;88,40860116;94,79963213;-219,1687818;263,677812;1154138,409;135132;-893437,3835;-6366,874826;0,004007354;7,82E-06;-0,026494985;0,191957534;-0,00018881;0,032372033;0;0,191957534;3,786930322;0,067125263;1,243818913;1,238766868;39,73919378;-38961,97927;4,07E-05;-0,041414009
205;206;2024339;859800;13696;3000;610295;19768;125893;76608;821000;1697700;391075;574713;125893;175,9036162;105,2501797;876,3123375;93;-208;-203,4642261;361,5471494;965881;241988;-820929,3466;175,9036162;1,922172003;0,002871861;-6,520849821;0,608516756;0,001397247;-18,8416701;0;0,608516756;0,04512458;16,59166912;1,61877645;1,611105287;129,5493575;1266362,112;0,004719444;2,05537076
206;207;36100;1090287;1525206;2100;649975;8187;134074;74355;1136300;1716300;504800;601471;134074;50,37103868;119,1390467;1208,984662;77;110,8075796;-270,4819785;642,3534842;1106348;155462;-1136368,768;50,37103868;1,159523845;0,004791037;-8,475683339;0,554581798;0,000375696;-26,23849418;0;0,554581798;0,043322846;16,56622462;1,307967512;1,303807448;1,174041408;4709866,646;0,008639009;12,75243674
207;208;32300;1282827;1362380;3900;0;0;155369;86477;1171800;998800;0;0;155369;200,8493321;122,7728344;1763,481016;79;69;-320,6406429;575,9097743;79;3900;-1171721,924;200,8493321;0,025101532;0,003706723;-7,541542544;0,556591083;0,001292725;-24,51653177;0;0,556591083;0,086580897;6,428566831;inf;;0,796603738;0;0,006659687;2,867372116
208;209;41800;1441049;1448891;211161;71400;37646;168500;60900;1147000;1340359;104;103700;168500;128,2204369;121,6046525;1601,739874;170;-449;-315,825964;592,9286612;103974;320103;-1146993,384;128,2204369;1,899721068;0,003518864;-6,807082399;0,361424332;0,000760952;-19,96116467;0;0,361424332;0,045435589;7,95527003;3078,913462;1048,519231;0,967125201;203251,5302;0,009736103;4,62429138
209;210;43100;1987002;0;188711;71500;185525;5192800;1617700;1124200;1662099;96;107300;5192800;-779,9947549;131,5283988;1604,413993;84,40566709;107,7265371;-331,4650304;353,1297261;107480,4057;445640;-1125111,523;-779,9947549;0,085818826;6,80E-05;-0,216667602;0,3115275;-0,000150207;-0,425158997;0;0,3115275;0,973287391;0,320096095;4643,083333;2677,34375;inf;-33458,55833;0,000218291;-0,452733463
210;211;383209;0;30200;232371;74900;134371;5365700;1470700;310374;2766169;203;151200;5365700;-967,214278;124,4335338;512,3679879;66,8753515;104,1082113;-211,4142193;689,7613178;151469,8754;441439;-311465,6478;-967,214278;0,082270533;0,00012855;-0,058047533;0,274092849;-0,000180259;0,071623202;0;0,274092849;0,531673951;0,515565909;2175,576355;1030,891626;140,2936755;-28265,19482;0,000469002;-0,7131422
211;212;735120;1875000;44300;228323;70000;73173;3768000;1670000;383651;3086900;3745;143800;3768000;-617,3391121;119,4639489;813,8183328;77,14503644;106,7409858;-638;522,7169788;147622,145;367751;-384387,8031;-617,3391121;0,097598461;0,000138725;-0,102013748;0,443205945;-0,000163837;0,046426729;0;0,443205945;0,540995821;0,820234873;99,19786382;38,23044059;107,3792325;-41387,30156;0,000313004;-0,846725841
212;213;946918;1826500;73700;235048;524508;517000;3539000;1132000;365032;0;310191;230122;3539000;-249,1718298;120,0116559;1140,637168;98,4542454;106,9835292;-212;287,1315906;540411,4542;966365;-365401,1835;-249,1718298;0,273061599;8,11E-05;-0,10324984;0,319864368;-7,04E-05;0,178911248;0;0,319864368;inf;0,087649336;4,115386971;3,35763449;15,35956581;-768326,9017;0,00025365;-1,152343709
213;214;918200;1792300;77900;242977;705716;1159000;150141000;42123000;437140;108153;372399;301863;150141000;-27106,22652;-54,00756011;2762,277002;126,7517369;60,5973293;-5;-544,242497;674388,7517;1735294;-464192,219;-27106,22652;0,011557762;-3,62E-06;-0,003091709;0,280556277;-0,000180538;0,171814829;0;0,280556277;389,4760201;0,003200671;5,659770837;5,007306679;542,1200642;-9502,847615;-1,29E-05;0,020078136
214;215;19939;1741100;34154;265846;864898;1829000;153702000;40942000;75335;69005;267939;373010;153702000;-28069,30041;-38,94762658;2151,055189;107,4799962;63,34962622;-234,6722745;-556,7180622;641056,48;2691805;-103365,3528;-28069,30041;0,017513142;-3,62E-06;-0,000672505;0,266372591;-0,000182622;0,178432367;0;0,266372591;593,3193247;0,00219219;11,04633517;10,05414665;1200,76726;-11246,7274;-1,36E-05;0,019833699
215;216;19738;506818;43942;289368;810700;4836000;159793000;38037000;120243;164682;182215;409800;159793000;-29747,74344;-40,16442832;1165,047746;128,4862269;64,88517265;-200;-1144,744497;592143,4862;5753853;-149950,579;-29747,74344;0,036008167;-7,16E-06;-0,000938405;0,238039213;-0,000186164;0,182740397;0;0,238039213;230,9724196;0,002170915;32,5772741;30,98921604;869,3660279;-9947,157861;-3,01E-05;0,038481725
216;217;93521;685998;67550;1105200;0;83500;153182000;33856000;108690;504940;1263783;0;153182000;-28898,22764;-38,37191196;883,323126;114,9137418;40,77980645;-265,8659364;154,9154722;1263897,914;-75083;-137549,8557;-28898,22764;-0,000490156;1,01E-06;-0,000897951;0,221018135;-0,000188653;0,128872221;0;0,221018135;67,04955044;0,011546546;0,940588693;0,06607147;508,6741673;0;4,58E-06;-0,005360726
217;218;114678;1018005;49100;1264000;43488;334700;441356;89307;139846;2392;1224442;3238;441356;237,1818273;130,8209412;603,4246774;102,4854626;81,92729759;-199,8289381;676,1109986;1227782,485;417746;-139739,6391;237,1818273;0,946505769;0,001531895;-0,316614341;0,202346858;0,000537393;0,215069758;0;0,202346858;37,33570234;2,779692584;1,34117255;0,308865589;1,867596741;66923,84564;0,007570638;2,850602031
218;219;312630;1593500;0;1419200;45177;442000;551100;107009;0;2078;1950262;4408;551100;226,3082027;123,7784045;409,5155501;112,3643967;69,79221699;-136,140017;652,3480693;1954782,364;-43885;102,5297983;226,3082027;-0,079631646;0,00118372;0,000186046;0,194173471;0,000410648;0,023627915;0;0,194173471;51,49615014;3,542623843;0,977497895;0,249800796;inf;72863,48793;0,006096198;2,882564845
219;220;323122;0;121733;1431700;59900;218400;697577;156136;12300;1102;2006533;3539;697577;195,2965416;121,2976056;236,7663436;106,7849179;66,70297425;-134,1558902;832,0014226;2010178,785;-296533;-12226,00106;195,2965416;-0,42508999;0,001192702;-0,017526382;0,223826187;0,000279964;-0,43169959;0;0,223826187;141,6842105;2,878012033;0,852216236;0,138696946;1,291662902;111950,2671;0,005328697;4,260195372
220;221;240961;28779;23043;10600;91278;302190;641300;152000;13700;541;927300;58072;641300;271,2937221;130,8501822;699,7439558;100,6531608;96,44109886;-155,0411978;696,2756963;985472,6532;-523232;-13559,55646;271,2937221;-0,815892718;0,001085725;-0,021143859;0,237018556;0,000423037;-0,904691808;0;0,237018556;280,961183;1,446812724;0,435746792;0,424315755;6,619841167;122805,9011;0,004580761;2,566501322
221;222;84439;27492;82972;10500;62554;332624;58322;23203;18700;801183;60900;75269;58322;262,8982856;137,5512576;685,5096468;85,87871584;109,793549;-199,4931032;700,0585312;136254,8787;344778;-18574,65297;262,8982856;5,911628545;0,012003335;-0,318484499;0,397843009;0,004507704;6,302973585;1;0,397843009;0,028960924;14,78143754;6,66137931;6,488965517;9,935713253;86848,0749;0,030171035;2,662849359
